Keyword,Machine translation,Human translation (if necessary),Notes,Category,Source,Source2,Source3
迫害弟子劳教所,Persecuted disciples Labor Camp,,Falun gong related. Also on hirakujira list.,Religion -- Falun Gong,http://en.minghui.org/html/articles/2013/8/4/141365.html,http://en.minghui.org/html/articles/2013/4/25/139054.html,http://en.minghui.org/html/articles/2012/12/28/136810.html
马明哲 温云松,Mr Ma Wen Yunsong,"Ma Mingzhe, Wen Yunsong","Ma Mingzhe is head of Ping An Insurance, which is associated with Wen Jiabao's secret family wealth. Wen Yunsong is his son.",Wen Jiaobao family wealth scandal,http://www.nytimes.com/2012/11/25/business/chinese-insurers-regulatory-win-benefits-a-leaders-family.html,,
魏京生,Wei Jingsheng,,dissident,Dissident / Activist,,,
纪元 退党,Era resign,"Epoch Times, tuidang",,Communist Party of China (CPC) -- Criticism,,,
新四人帮,New Gang of Four,,"Supposed quartet of top politicians undermining the CCP by not being more vigorously anti-Bo Xilai: Wu Bangguo, Jia Qinglin, Li Changchun and Zhou Yongkang.",Communist Party of China (CPC) -- General CPC,,,
中共如何倒台,How the CCP downfall,,Rumors about supposed discussions that were happening behind closed doors wherein officials were planning for a post-CCP era,Communist Party of China (CPC) -- General CPC,,,
当今高层政治内幕,Today's high-level political insider,,Also on hirakujira list.,Communist Party of China (CPC) -- Criticism,,,
防和谐器,Anti harmonious unit,"Anti-""hexie"" tool",Website that swaps out known sensitive keywords with coded words,Censorship ,http://fanghexie.sinaapp.com/,,
江氏 独裁,Jiang's dictatorship,,,Communist Party of China (CPC) -- Criticism,,,
纪念七五,Memorial seventy-five,Remember July 5,"Memorializing the Urumqi riots of July 5, 2009 when Uyghurs took to the streets.",Urumqi riots,http://www.rfa.org/mandarin/yataibaodao/shaoshuminzu/gr-07022013100338.html,http://en.wikipedia.org/wiki/July_2009_%C3%9Cr%C3%BCmqi_riots,
推翻 共产党,Overthrow the Communist Party,,,Communist Party of China (CPC) -- Criticism,,,
胡温无能,Hu and Wen incompetent,,,Communist Party of China (CPC) -- Criticism,,,
邓小平政治遗嘱,Deng Xiaoping's political testament,,same as above only without space,CPC member / Gov official,,,
北京枪声,Beijing gunfire,,,Misc,,,
评价六四,Evaluation sixty-four,Evaluate June 4,,Tiananmen Square (June 4 1989),,,
绝食静坐,Hunger protest,,,Protest,,,
学潮坦克,Student protests tanks,,,Tiananmen Square (June 4 1989),,,
打倒共产党,Down with the Communist Party,,,Communist Party of China (CPC) -- Criticism,,,
中共统治,CCP rule,,,Communist Party of China (CPC) -- General CPC,,,
中共黑暗,CCP Dark,,criticism of CCP,Communist Party of China (CPC) -- Criticism,,,
中共迫害,Persecution,"CCP, persecution",,Communist Party of China (CPC) -- Criticism,,,
法轮大法,Falun Dafa,,,Religion -- Falun Gong,,,
法轮弟子,Falun disciple,,,Religion -- Falun Gong,,,
李洪志,Li Hongzhi,,spiritual leader and founder of Falun Gong,Religion -- Falun Gong,,,
转法轮,Zhuan Falun,,one of Falun Gong's primary book of teachings,Religion -- Falun Gong,,,
中共 洗脑,Chinese Communist brainwashing,,,Religion -- Falun Gong,,,
活摘 法轮 器官,Organ harvesting from living Falun,,,Religion -- Falun Gong,,,
活摘 学员 器官,Participants organ harvesting,,,Religion -- Falun Gong,,,
进京 上访,Beijing to petition,Beijing petition,"refers to practice of people going to Beijing to seek redress for their local greivances, and oftentimes the physical violence local officials use to keep petitioners from reaching Beijing",Petitioning (Administrative System),,,
共党垮台,Communist collapse,,,Communist Party of China (CPC) -- Criticism,,,
中共垮台,CCP collapse,,,Communist Party of China (CPC) -- Criticism,,,
中共内斗,CCP infighting,,,Communist Party of China (CPC) -- General CPC,,,
中共权斗,CCP power struggle,,,Communist Party of China (CPC) -- General CPC,,,
薄案生枝,Thin twigs case,"All keywords that follow are related to Bo Xilai, including variations on his name (both homophones and coded keywords like ""not thick"" which is a reference to his surname which means ""thin"") and references to his and his family's actions as well as the government's responses to the growing scandal. Some of the keywords describe events, others are accusatory, and the rest are supportive.",,Bo Xilai Scandal,,,
薄案玄机,Thin case mystery,,Bo Xilai related,Bo Xilai Scandal,,,
薄博古特,Thin Bogut,,Bo Xilai related,Bo Xilai Scandal,,,
薄粉相信,Thin powder believed,,Bo Xilai related,Bo Xilai Scandal,,,
薄公谷妈,Baogongguma,,Bo Xilai related,Bo Xilai Scandal,,,
薄公平反,Thin fair view,,Bo Xilai related,Bo Xilai Scandal,,,
薄公西来,Thin public to the West,,Bo Xilai related,Bo Xilai Scandal,,,
薄古开来,Thin ancient open,,Bo Xilai related,Bo Xilai Scandal,,,
薄今厚古,Baojinhougu,,Bo Xilai related,Bo Xilai Scandal,,,
薄军挺近,Thin army very close,,Bo Xilai related,Bo Xilai Scandal,,,
薄来先生,Thin to Mr.,,Bo Xilai related,Bo Xilai Scandal,,,
薄氏熙来,Thin 's Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
薄西大人,Thin West adults,,Bo Xilai related,Bo Xilai Scandal,,,
薄熙遗书,Bo Xilai testament,,Bo Xilai related,Bo Xilai Scandal,,,
博讯独家,Exclusive Boxun,,Bo Xilai related,Bo Xilai Scandal,,,
不厚大哥,Big Brother is not thick,,Bo Xilai related,Bo Xilai Scandal,,,
不厚都督,Not thick captaincy,,Bo Xilai related,Bo Xilai Scandal,,,
不厚获罪,Not thick felon,,Bo Xilai related,Bo Xilai Scandal,,,
不厚开庭,Not thick hearing,,Bo Xilai related,Bo Xilai Scandal,,,
不厚乱渝,Not thick mess Chongqing,,Bo Xilai related,Bo Xilai Scandal,,,
不厚受审,Not thick trial,,Bo Xilai related,Bo Xilai Scandal,,,
不厚书记,Not thick secretary,,Bo Xilai related,Bo Xilai Scandal,,,
不厚先生,"Not thick , Mr.",,Bo Xilai related,Bo Xilai Scandal,,,
不厚冤枉,Not thick wronged,,Bo Xilai related,Bo Xilai Scandal,,,
打黑书记,Hitting the secretary,,Bo Xilai related,Bo Xilai Scandal,,,
打温挺薄,Dawentingbao,,Bo Xilai related,Bo Xilai Scandal,,,
倒薄事件,Pour thin Event,,Bo Xilai related,Bo Xilai Scandal,,,
孤军薄旅,Thin trip alone,,Bo Xilai related,Bo Xilai Scandal,,,
瓜瓜声明,Guagua Statement,,Bo Xilai related,Bo Xilai Scandal,,,
还民熙来,Also China Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
还我西莱,Also I Sile,,Bo Xilai related,Bo Xilai Scandal,,,
还我熙来,Also I Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
了结薄案,Thin case pending,,Bo Xilai related,Bo Xilai Scandal,,,
判薄无罪,Sentenced thin innocence,,Bo Xilai related,Bo Xilai Scandal,,,
平西王薄,Pingxi thin,,Bo Xilai related,Bo Xilai Scandal,,,
停薄降温,Stop thin cooling,,Bo Xilai related,Bo Xilai Scandal,,,
挺b大军,Ting b army,,Bo Xilai related,Bo Xilai Scandal,,,
挺薄大军,Very thin army,,Bo Xilai related,Bo Xilai Scandal,,,
挺薄行动,Very thin Action,,Bo Xilai related,Bo Xilai Scandal,,,
挺薄降温,Very thin cooling,,Bo Xilai related,Bo Xilai Scandal,,,
挺薄颂毛,Tingbosongmao,,Bo Xilai related,Bo Xilai Scandal,,,
王薄事件,Wang Bo Event,,Bo Xilai related,Bo Xilai Scandal,,,
雾都表哥,Fog Cousin,,Bo Xilai related,Bo Xilai Scandal,,,
熙来大哥,Xilai Brother,,Bo Xilai related,Bo Xilai Scandal,,,
熙来书记,Xilai secretary,,Bo Xilai related,Bo Xilai Scandal,,,
熙来同志,Comrade hee,,Bo Xilai related,Bo Xilai Scandal,,,
习与薄案,Case study with thin,,Bo Xilai related,Bo Xilai Scandal,,,
拥毛挺b,Yong Mao Ting b,,Bo Xilai related,Bo Xilai Scandal,,,
拥习挺ｂ,Yong Xi Ting b,,Bo Xilai related,Bo Xilai Scandal,,,
拥习挺薄,Yongxitingbao,,Bo Xilai related,Bo Xilai Scandal,,,
支持薄粉,Support thin powder,,Bo Xilai related,Bo Xilai Scandal,,,
重庆薄粉,Chongqing thin powder,,Bo Xilai related,Bo Xilai Scandal,,,
重庆政变,Chongqing coup,,Bo Xilai related,Bo Xilai Scandal,,,
不厚希莱,Not thick Hilaire,,Bo Xilai related,Bo Xilai Scandal,,,
不厚熙来,Not thick Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
bo西莱,bo Sile,,Bo Xilai related,Bo Xilai Scandal,,,
博古开来,Bogut open,,Bo Xilai related,Bo Xilai Scandal,,,
bo西来,bo the West,,Bo Xilai related,Bo Xilai Scandal,,,
bo袭来,bo hit,,Bo Xilai related,Bo Xilai Scandal,,,
薄粉军迷,Thin Pink Army fans,,Bo Xilai related,Bo Xilai Scandal,,,
天佑熙来,God Bless Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
挺薄颂毛,Tingbosongmao,,Bo Xilai related,Bo Xilai Scandal,,,
打温挺薄,Dawentingbao,,Bo Xilai related,Bo Xilai Scandal,,,
还薄清白,Also Thin innocence,,Bo Xilai related,Bo Xilai Scandal,,,
bao熙来,bao Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
bo王事件,bo Wang Event,,Bo Xilai related,Bo Xilai Scandal,,,
薄熙lai,Bo Xilai lai,,Bo Xilai related,Bo Xilai Scandal,,,
薄自认无罪,Not guilty thin,,Bo Xilai related,Bo Xilai Scandal,,,
孤军BO旅,BO brigade alone,,Bo Xilai related,Bo Xilai Scandal,,,
瓜瓜爹逆袭,Guagua father counter-attack,,Bo Xilai related,Bo Xilai Scandal,,,
瓜瓜发声明,Guagua issued a statement,,Bo Xilai related,Bo Xilai Scandal,,,
解救薄熙来,Bo Xilai rescue,,Bo Xilai related,Bo Xilai Scandal,,,
声援薄熙来,Solidarity Bo,,Bo Xilai related,Bo Xilai Scandal,,,
书记bx来,Secretary to bx,,Bo Xilai related,Bo Xilai Scandal,,,
挺BO降温,Very cool BO,,Bo Xilai related,Bo Xilai Scandal,,,
挺薄互粉团,Dough very thin interbedded,,Bo Xilai related,Bo Xilai Scandal,,,
挺薄四君子,Very thin Sijunzi,,Bo Xilai related,Bo Xilai Scandal,,,
挺薄万民伞,Very thin umbrella peoples,,Bo Xilai related,Bo Xilai Scandal,,,
为西来叫好,To cheer for the West,,Bo Xilai related,Bo Xilai Scandal,,,
西红柿受审,Tomatoes trial,,Bo Xilai related,Bo Xilai Scandal,,,
重庆BO迷,Chongqing BO fans,,Bo Xilai related,Bo Xilai Scandal,,,
拥毛挺bo,Yong Mao Ting bo,,Bo Xilai related,Bo Xilai Scandal,,,
判薄无罪 ,Sentenced thin innocence,,Bo Xilai related,Bo Xilai Scandal,,,
挺bo大军,Ting bo army,,Bo Xilai related,Bo Xilai Scandal,,,
挺薄互粉团,Dough very thin interbedded,,Bo Xilai related,Bo Xilai Scandal,,,
薄名垂青史,Thin go down in history,,Bo Xilai related,Bo Xilai Scandal,,,
为西来叫好,To cheer for the West,,Bo Xilai related,Bo Xilai Scandal,,,
薄熙来枭雄,Bo Xilai Lawrence,,Bo Xilai related,Bo Xilai Scandal,,,
审薄政治秀,Thin political show trial,,Bo Xilai related,Bo Xilai Scandal,,,
薄xilai,Thin xilai,,Bo Xilai related,Bo Xilai Scandal,,,
薄大大牺牲品,Thin greatly victim,,Bo Xilai related,Bo Xilai Scandal,,,
薄谷二人关系,Relationship between two thin valley,,Bo Xilai related,Bo Xilai Scandal,,,
薄瓜瓜 声明,Bo Guagua Statement,,Bo Xilai related,Bo Xilai Scandal,,,
薄兮来 廉洁,Come to a clean sheet,,Bo Xilai related,Bo Xilai Scandal,,,
博讯北京时间,Boxun Beijing,,Bo Xilai related,Bo Xilai Scandal,,,
后薄熙来时代,After Bo era,,Bo Xilai related,Bo Xilai Scandal,,,
揭秘 薄瓜瓜,Secret Bo Guagua,,Bo Xilai related,Bo Xilai Scandal,,,
解放碑大行动,Liberation Monument Campaign,,Bo Xilai related,Bo Xilai Scandal,,,
救薄就要拥习,Yong Xi will save thin,,Bo Xilai related,Bo Xilai Scandal,,,
马三家劳教所,Masanjia,,Bo Xilai related,Bo Xilai Scandal,,,
美国之音报道,Voice of America reports,,Bo Xilai related,Bo Xilai Scandal,,,
全球挺薄联盟,Very thin Global Alliance,,Bo Xilai related,Bo Xilai Scandal,,,
审薄 导火索,Thin fuse trial,,Bo Xilai related,Bo Xilai Scandal,,,
声援 薄熙来,Solidarity Bo,,Bo Xilai related,Bo Xilai Scandal,,,
为薄熙来平反,Bo Xilai vindication for the,,Bo Xilai related,Bo Xilai Scandal,,,
应宣布薄无罪,Thin innocence should be declared,,Bo Xilai related,Bo Xilai Scandal,,,
支持 薄书记,Support thin secretaries,,Bo Xilai related,Bo Xilai Scandal,,,
重庆bo书记,Secretary of Chongqing bo,,Bo Xilai related,Bo Xilai Scandal,,,
重庆打黑书记,Chongqing hitting secretary,,Bo Xilai related,Bo Xilai Scandal,,,
薄中国曼德拉,Thin China Mandela,,Bo Xilai related,Bo Xilai Scandal,,,
忘不了薄书记,Forget thin secretaries,,Bo Xilai related,Bo Xilai Scandal,,,
薄斥责公诉机关,Thin rebuked prosecutor,,Bo Xilai related,Bo Xilai Scandal,,,
薄王倒 谷丰登,Baowangdaogu Fengdeng,,Bo Xilai related,Bo Xilai Scandal,,,
被告薄熙来无罪,Bo Xilai defendant not guilty,,Bo Xilai related,Bo Xilai Scandal,,,
陈良宇到薄熙来,Chen Liangyu to Bo Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
瓜爹瓜娘瓜瓜娃,Guadieguaniang guagua baby,,Bo Xilai related,Bo Xilai Scandal,,,
瓜瓜 纽约时报,Guagua New York Times,,Bo Xilai related,Bo Xilai Scandal,,,
黑薄势力 老薄,Old thin black thin forces,,Bo Xilai related,Bo Xilai Scandal,,,
回应薄熙来事件,Bo Xilai incident response,,Bo Xilai related,Bo Xilai Scandal,,,
人民需要薄熙来,People need to Bo Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
声援薄熙来书记,"Bo Xilai, secretary of Solidarity",,Bo Xilai related,Bo Xilai Scandal,,,
忘不了 薄书记,Forget thin secretaries,,Bo Xilai related,Bo Xilai Scandal,,,
我眼里的薄熙来,Bo Xilai my eyes,,Bo Xilai related,Bo Xilai Scandal,,,
西红柿市委书记,Party secretary tomatoes,,Bo Xilai related,Bo Xilai Scandal,,,
熙来红 唱红歌,Xilai red famous songs,,Bo Xilai related,Bo Xilai Scandal,,,
在薄熙来指使下,At the instigation of Bo Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
重庆薄熙来被抓,Chongqing Bo Xilai was arrested,,Bo Xilai related,Bo Xilai Scandal,,,
阻止薄咆哮公堂,Prevent thin growl courtroom,,Bo Xilai related,Bo Xilai Scandal,,,
应宣布薄无罪 ,Thin innocence should be declared,,Bo Xilai related,Bo Xilai Scandal,,,
薄法庭被删节发言,Thin court truncated speech,,Bo Xilai related,Bo Xilai Scandal,,,
谷对薄用人的影响,Valley on the impact of employing thin,,Bo Xilai related,Bo Xilai Scandal,,,
请战书 薄熙来案,Qingzhan book Bo case,,Bo Xilai related,Bo Xilai Scandal,,,
全球巡回人体展览,Roving Exhibition global body,,Bo Xilai related,Bo Xilai Scandal,,,
书记带咱们向前走,Let's move forward with the secretary,,Bo Xilai related,Bo Xilai Scandal,,,
温家宝陷害薄熙来,Wen Bo Xilai framed,,Bo Xilai related,Bo Xilai Scandal,,,
我是薄熙来牺牲品,I am a victim of Bo Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
乌有之乡 薄熙来,Utopia Bo Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
重庆 声援薄熙来,"Bo Xilai , Chongqing solidarity",,Bo Xilai related,Bo Xilai Scandal,,,
重庆打黑重庆模式,Chongqing Chongqing hitting mode,,Bo Xilai related,Bo Xilai Scandal,,,
薄案判决结果的预测,Thin case verdict forecast,,Bo Xilai related,Bo Xilai Scandal,,,
旗帜鲜明的唱红打黑,Clear-cut made ​​famous anti-,,Bo Xilai related,Bo Xilai Scandal,,,
全国人大代表薄熙来,NPC Bo,,Bo Xilai related,Bo Xilai Scandal,,,
全球巡展 塑化人体,Plasticized human global tour,,Bo Xilai related,Bo Xilai Scandal,,,
我是薄熙来的牺牲品,I was a victim of Bo Xilai,,Bo Xilai related,Bo Xilai Scandal,,,
吁请重审 薄熙来案,Calls upon retrial Bo case,,Bo Xilai related,Bo Xilai Scandal,,,
中共当局调查薄熙来,"Bo Xilai, Chinese authorities investigated",,Bo Xilai related,Bo Xilai Scandal,,,
中国政治改革新思维,New Thinking in China's political reform,,Bo Xilai related,Bo Xilai Scandal,,,
198964,198964,"1989, June 4",,Tiananmen Square (June 4 1989),,,
FLG,FLG,Falun Gong,,Religion -- Falun Gong,,,
GCD,GCD,Gong Chan Dang (Communist Party),Communist party (共产党) in pinyin (gongchandang),Communist Party of China (CPC) -- General CPC,,,
GFW,GFW,Great Firewall,,Censorship ,,,
18大,18 large,18th National Congress,"""Big"" 18 is nickname for the twice-a-decade CCP meeting; ""Sparta"" became code word for the event because of homophone for 18大",18th CPC National Congress (2012),https://chinadigitaltimes.net/2012/11/word-of-the-week-sparta/,,
38军,38 Jun,38th Army,"One of the military units primarily ordered to clear Tiananmen Square. Commander of the unit, Xu Qinxian notably refused to do so and was relieved of his duties.",Tiananmen Square (June 4 1989),https://en.wikipedia.org/wiki/38th_Army_(People's_Republic_of_China),http://blockedonweibo.tumblr.com/post/16049060851/xu-qinxian-was-a-major-general-in-the,
八九,Eighty-nine,89,Refers to 1989,Tiananmen Square (June 4 1989),,,
半羽,Semi- Yu,Half of 羽,"Code for 习, the surname of Xi Jinping",CPC member / Gov official,,,
暴政,Tyranny,,,Government,,,
柴玲,Chai Ling,,dissident,Dissident / Activist,,,
赤匪,Red bandits,,"insult to Communists, who are referred to by red color",Communist Party of China (CPC) -- Criticism,http://zh.wikipedia.org/wiki/%E5%85%B1%E5%8C%AA,,
共党,Communists,,,Communist Party of China (CPC) -- General CPC,,,
共匪,Bandits,Communist bandits,,Communist Party of China (CPC) -- Criticism,,,
共贼,Total thief,Communist thief,,Communist Party of China (CPC) -- Criticism,,,
胡温,Hu and Wen,Hu Jintao and Wen Jiabao,,CPC member / Gov official,,,
江派,Jiang faction,,refers to Jiang Zemin's so-called 'Shanghai Gang',Communist Party of China (CPC) -- General CPC,http://blockedonweibo.tumblr.com/post/20901951080/shanghai-gang-or-shanghai-clique,,
江系,Jiang Department,,refers to Jiang Zemin's so-called 'Shanghai Gang',Communist Party of China (CPC) -- General CPC,http://blockedonweibo.tumblr.com/post/20901951080/shanghai-gang-or-shanghai-clique,,
江贼,Jiangzei,Jiang thief,refers to allegations of Jiang Zemin corruption,Corruption Scandals,,,
近平,Nearly flat,Jinping,Xi Jinping's given name,CPC member / Gov official,,,
九评,Nine Commentaries,Nine Commentaries on the Communist Party,criticism of CCP by Falun Gong,Religion -- Falun Gong,http://www.theepochtimes.com/n2/c/china-news/nine-commentaries-china-news/,,
军警,Police,military and police,security forces,National Security,,,
六四,Sixty-four,,reference to June 4,Tiananmen Square (June 4 1989),,,
马凯,Mackay,Ma Kai,one of the four Vice Premiers of China. He was formerly a State Councilor and Secretary General of the State Council of China,CPC member / Gov official,,,
民运,MDC,Democracy movement,,Democracy (Chinese Democracy Movement),,,
彭博,Bloomberg,,due to assorted controversies involving reporting--and non-reporting,Media -- International Media,http://blockedonweibo.tumblr.com/post/13365981905/bloomberg-pengboshe-is-an-american,http://www.newrepublic.com/article/115797/bloomberg-news-scandal-how-chinese-censorship-works,
天朝,Heavenly,Celestial Empire/Taiping Heavenly Kingdom,used ironically by netizens to refer to modern day Chinese CCP,Communist Party of China (CPC) -- Criticism,,,
兲朝,Tian towards,Celestial Empire/Taiping Heavenly Kingdom,variation on 天朝,Communist Party of China (CPC) -- Criticism,,,
屠城,Massacre,,"Definition: ""massacre the inhabitants of a captured city""",Misc ,,,
屠杀,Massacre,,"Definition: ""massacre; butcher""",Misc,,,
团派,Tuanpai,Youth League Faction,the supposed faction Xi Jinping belongs to,Communist Party of China (CPC) -- General CPC,,,
退党,Resign,Tuidang,Falun Gong-led movement to get CCP officials to disavow the Party,Religion -- Falun Gong,,,
汪洋,Wang Yang,,one of the four Vice Premiers of China,CPC member / Gov official,,,
瘟神,Plague,,,Misc,,,
晓波,Xiaobo,Liu Xiaobo,given name of noted dissident,Dissident / Activist,,,
学潮,Campus upheaval,,can refer to Tiananmen protests led by students at Beida and Qinqhua,Tiananmen Square (June 4 1989),,,
学运,Student movement,,can refer to Tiananmen protests led by students at Beida and Qinqhua,Tiananmen Square (June 4 1989),,,
余杰,Yu Jie,,Chinese writer and democracy activist,Dissident / Activist,,,
政变,Coup,,sensitive because of rumors that a coup was underway in Beijing in Mar 2012 due to Bo Xilai's arrest,Government,,,
周斌,Zhou Bin,,"son of Zhou Yongkang, implicated in corruption",Relatives / Associates of Government Officials,http://www.scmp.com/news/china/article/1401807/retired-security-tsar-zhou-yongkangs-son-zhou-bin-faces-trial-seeks,,
祖茔,Ancestral grave,,,Misc,,,
共C档,Total C file,Communist Party,code for Communist Party,Communist Party of China (CPC) -- General CPC,,,
89事件,89 Events,,Refers to June 4 1989,Tiananmen Square (June 4 1989),,,
艾未未,Ai Weiwei,,dissident artist,Dissident / Activist,,,
薄瓜瓜,Bo Guagua,,son of Bo Xilai,Bo Xilai Scandal,,,
薄熙来,Bo Xilai,,,Bo Xilai Scandal,,,
曹建明,Cao Jianming,,Procurator-General of the Supreme People's Procuratorate of the People's Republic of China.,CPC member / Gov official,,,
曾庆红,Zeng Qinghong,,retired Chinese politician. He was a member of the Politburo Standing Committee,CPC member / Gov official,,,
杜德印,Dodd India,Du Deyin,Minor official? Was the Secretary of the CPC Yanqing County Committee and became the Chairman of the Beijing People's Congress Standing Committee in 2007,CPC member / Gov official,,,
傅政华,FuZhengHua,Fu Zhenghua,Vice Minister caught up in Zhou Yongkang corruption scandal,CPC member / Gov official,http://www.scmp.com/news/china-insider/article/1395807/vice-minister-fu-zhenghua-latest-official-incidentally-run,,
高晓兵,High Xiaobing,Gao Xiaobing,"Minor official? Minister of Organization and Standing Committee of Shandong Provincial Party Committee, background in railway ministry",CPC member / Gov official,,,
高智晟,Gao Zhisheng,, Chinese human rights attorney and dissident known for defending activists and religious minorities and documenting human rights abuses in China,Dissident / Activist,,,
公产党,Male Party,Communist Party,code for Communist Party,Communist Party of China (CPC) -- General CPC,,,
共产党,Communist party,Communist Party,,Communist Party of China (CPC) -- General CPC,,,
谷开来,Gu,Gu Kailai,wife of Bo Xilai,Bo Xilai Scandal,,,
谷丽萍,Gu Liping,,"Ling Jihua's wife, alleged corruption investigation",Relatives / Associates of Government Officials,http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20121205000138&cid=1601,,
郭金龙,Guo Jinlong,,"Mayor of Beijing was engulfed in scandal regarding his handling of 2012 flood, which killed 37 people",CPC member / Gov official,http://www.huffingtonpost.com/2012/07/25/guo-jinlong-beijing-mayor_n_1701517.html,,
胡海峰,Hu Haifeng,,Hu Haifeng is the son of Chinese president Hu Jiantao.  Hu Haifeng was involved in a  bribery scandal in selling airport and port scanning equipment to Namibia.,Relatives / Associates of Government Officials,http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20120322000076&cid=1601,,
胡海清,Hu Haiqing,,"Hu Haiqing is the daughter of Chinese president Hu Jintao. She is married to Daniel Mao, the former CEO of Sina.com.",Relatives / Associates of Government Officials,http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20120505000075&cid=1601,,
胡紧掏,Hu tight dig,Hu Jintao,alternative way for writing Hu Jintao,CPC member / Gov official,,,
胡紧套,Hu sleeve,Hu Jintao,Homophone of Hu Jintao,Hu Jintao,,,
胡锦涛,Hu Jintao,,Hu Jintao is the current president of China and the chief of the fourth generation of leadership of the Communist Party of China.,CPC member / Gov official,,,
胡耀邦,Hu Yaobang,,Hu Yaobang was a leader of the PRC and the CPC's Chairman from 1981 to 1982 and rose to prominence with Deng Xiaoping. Hu Yaobang pursued a series of economic and political reforms and was blamed by his political opponents for allowing widespread student protests in the 1980s.,CPC member / Gov official,http://en.wikipedia.org/wiki/Hu_Yaobang,,
黄奇帆,Anticipation,Huang Qifan,"Huang Qifan is the mayor of Chongqing and a key political ally of Bo Xilai. Some say that his political career has been in jeopardy because of his support for Bo Xilai; however, in 2012, he was reelected to the Central Committee.",CPC member / Gov official,http://en.wikipedia.org/wiki/Huang_Qifan,,
贾庆林,Jia Qinglin,,Jia Qinglin is a senior official in the Chinese government and the Communist Party of China. He is a member of the all powerful Politburo Standing Committee of the CPC.,CPC member / Gov official,http://en.wikipedia.org/wiki/Jia_Qinglin.,,
江蟾蜍,River toad,"Jiang ""Toad""",Coded slang name for Jiang Zemin,CPC member / Gov official,,,
江蛤蟆,River toad,"Jiang ""Toad""",Coded slang name for Jiang Zemin,CPC member / Gov official,,,
江家帮,Jiang's home to help,Jiang Family Help,Refers to family wealth and how Jiang Zemin helped them acquire it?,Relatives / Associates of Government Officials,,,
江锦恒,Jiang Jinheng,,"Jiang Jinheng is the son of former Chinese president, Jiang Zemin. Jiang Jinheng has been involved in allegations of corruption and taking bribes from wealthy businessmen.",Relatives / Associates of Government Officials,,,
江绵恒,Mr Jiang,Jiang Mianheng,This is Jiang Zemin's son. Jiang Mianheng was recently involved in major corruption scandals in China.,Relatives / Associates of Government Officials,http://www.nytimes.com/2012/05/18/world/asia/china-princelings-using-family-ties-to-gain-riches.html?pagewanted=all&_r=0.,,
江宋恋,Love Song Jiang,Jiang-Song Love,Refers to Jiang Zemin's alleged misstress Song Zuying,Relatives / Associates of Government Officials,https://en.wikipedia.org/wiki/Song_Zuying,,
江太皇,Jiang Taihuang,Emperor Emeritus (or retired Emperor) Jiang,Reference to China's former president Jiang Zemin.,CPC member / Gov official,,,
江太上,Mrs on,,Reference to Jiang Zemin?,CPC member / Gov official,,,
江泽民,Jiang,Jiang Zemin,Literal translation,CPC member / Gov official,,,
江贼民,Jiangzei China,Jiang 'thief' Min,"Apparently another way to write Jiang Zemin's name, with the last two characters meaning ""traitor""/""thief"" and ""citizens"".",CPC member / Gov official,,,
接班人,Successors,,used for speculation about political rumors,Government,,,
九常委,Nine of the Standing Committee,Nine members of the standing committee,politics,Communist Party of China (CPC) -- General CPC,,,
李鸿忠,Hongzhong,Li Hongzhong,Li Hongzhong is the party chief of Hubei province.,CPC member / Gov official,http://en.wikipedia.org/wiki/Li_Hongzhong,,
李克强,Li Keqiang,,"Li Keqiang, premier of China",CPC member / Gov official,http://www.businessspectator.com.au/bs.nsf/Article/China-election-leaders-USA-political-reform-china--pd20121003-YQ6TF?OpenDocument&src=sph%20&src=rot.,,
李源潮,Mr Li,Li Yuanchao,Li Yuanchao is the vice president of the PRC,CPC member / Gov official,http://en.wikipedia.org/wiki/Li_Yuanchao,,
栗战书,Li gauntlet,Li Zhanshu,Li Zhanshu is chief of the general office of the CPC,CPC member / Gov official,http://en.wikipedia.org/wiki/Li_Zhanshu,http://chinese-leaders.org/li-zhanshu/,
领导人,Leader,,politics,Government,,,
令公子,Order son,Ling son,"I believe this refers to Ling Gu, son of Ling Jihua, who was killed in the Ferarri crash.",Ferrari Crash (March 2012),,,
令计划,Order Scheme,Ling Jihua,Ling Jihua is a secretary of the Central Secretariat. His son was killed in the Ferrari crash in 2012.,CPC member / Gov official,,,
刘云山,Liu Yunshan,,Liu Yunshan is the first secretary of the central secretariat of the CPC,CPC member / Gov official,http://en.wikipedia.org/wiki/Liu_Yunshan,http://www.brookings.edu/about/centers/china/top-future-leaders/liu_yunshan,
