,Diff?,Machinese translation,CL extracted list,Check,Keyword,Machine translation,pinyin,Human translation (if neccessary),Notes,Sources,Source2,Source3
,,,,,中共派系,CCP factions,Zhōnggòng pàixì ,,refers to reported infighting in Communist Party,,,
,,,,,胡温 新四人帮,Hu and Wen new Gang of Four,hú wēn  xīn sì rén bāng ,,Gang of Four was the quartet led by Mao's wife which was charged with attempting to overthrow the Communist Party,,,
,,,,,老江的人马,Old Jiang 's men,lǎo jiāng de rén mǎ ,,"refers to Jiang Zemin's so-called ""Shanghai clique/gang"", which owed Jiang their loyalty for elevating them to positions of power",,,
,,,,,政 治 局 常 委 腐 败,The Standing Committee of the Political Bureau of Corruption,zhèng  zhì  jú  cháng  wěi  fǔ  bài ,,,,,
,,,,,太子薄,Prince thin,tàizǐ bó ,princeling Bo,"Bo Guagua, Bo Xilai's son",,,
,,,,,中共重大丑闻,CCP major scandal,Zhōnggòng zhòngdà chǒuwén ,,,,,
,,,,,中共混乱,CPC confusion,Zhōnggòng hùnluàn ,CCP disorder,,,,
,,,,,薄.熙.来自杀,Thin . Hee to suicide,bó .xī .láizì shā ,Bo Xilai suicide,rumor,,,
,,,,,鲍洪俊 受贿,Bao Hongjun bribery,bào hóng jùn  shòuhuì ,,Zhejiang Deputy Minister of Provincial Propaganda Ctte,http://holdtry.com/bbs-10-544176.html,http://zj.china.com.cn/news/heb/89641.html,
,,,,,中央争权夺利,Central compliments,zhōngyāng zhēng quán duó lì ,Communist Party power struggle,,,,
,,,,,中共如何倒台,How the CCP downfall,Zhōnggòng rúhé dǎotái ,,Rumors about supposed discussions that were happening behind closed doors wherein officials were planning for a post-CCP era,,,
,,,,,常委与权斗,Standing with power struggle,chángwěi yǔ quán dǒu ,Standing Committee power struggle,,,,
,,,,,薄汪争斗,Thin Wang battle,bó wāng zhēngdòu ,,,,,
,,,,,当今高层政治内幕,Today's high-level political insider,dāngjīn gāocéng zhèngzhì nèimù ,,,,,
,,,,,防和谐器 软体,Anti harmonious browser software,fáng héxié qì  ruǎntǐ ,"Anti ""hexie"" [eg censorship] software",Website that swaps out known sensitive keywords with coded words. Might also refer to other circumvention tools.,http://fanghexie.sinaapp.com/,,
,,,,,总理 手表,Premier Watch,zǒnglǐ  shǒubiǎo ,"Premier, wristwatch","Fan Jiyue (范继跃): Lushan County Party Secretary Fan Jiyue was seen inspecting the disaster zone with Prime Minister Li Keqiang [zh]. Savvy netizens, quick to catch signs of luxurious lifestyles in these photo opportunities, noticed Fan’s distinct watch tan, then dug up older photos of him wearing a watch on the same arm. (CDT)",http://chinadigitaltimes.net/2013/04/sensitive-words-sichuan-earthquake-xi-jinping/,http://home.blshe.com/blog.php?uid=8372&id=101087,http://luxury.sohu.com/20130730/n382946326.shtml
,,,,,共唐柏桥,Total唐柏桥,gòng táng bǎi qiáo ,"Communist Party, Tang Baiqiao",Tang Baiqiao is a Chinese political dissident from Hunan province who led student protests during the 1989 democracy movement. (Wikipedia),,,
,,,,,江氏 独裁,Jiang's dictatorship,jiāng shì  dúcái ,Jiang Zemin's dictatorship,,,,
,,,,,中共盛雪女士,Ms. Sheng Xue CPC,Zhōnggòng shèng xuě nǚshì ,"Communist Party, Sheng Xue, woman","Pen name of Zang Xihong, a Canadian journalist and writer, and human rights activist. Associated with Falun Gong?",,,
,,,,,曾.庆.红,Zeng . Qing Red,céng .qìng .hóng ,,"Zeng Qinghong was member of Polibitburo Standing Ctte and ally of Jiang. In 2010 Zeng Qinghong's son, Zeng Wei used millions of dollars to buy an Australian property which caught up by the media. (Wikipedia)",http://en.wikipedia.org/wiki/Zeng_Qinghong,http://dailynews.sina.com/gb/chn/chnnews/ausdaily/20130618/16494653020.html,
,,,,,策划中共,CCP planning,cèhuà Zhōnggòng ,"scheme, CCP",,,,
,,,,,纪念七五,Memorial seventy-five,jìniàn qīwǔ ,Remember July 5,"Memorializing the Urumqi riots of July 5, 2009 when Uyghurs took to the streets.",http://www.rfa.org/mandarin/yataibaodao/shaoshuminzu/gr-07022013100338.html,http://en.wikipedia.org/wiki/July_2009_%C3%9Cr%C3%BCmqi_riots,
,,,,,政治杀手一九八九,Political killer one thousand nine hundred eighty-nine,zhèngzhì shāshǒu yījiǔbājiǔ ,"Politics, murder, 1989",,,,
,,,,,推翻中国共产党,Overthrow the Chinese Communist Party,tuīfān Zhōngguó gòngchǎndǎng ,,,,,
,,,,*,贺 车祸,HE accident,hè  chēhuò ,,Not sure which He (surname) this refers to,,,
,,,,,北戴河内幕,Beidaihe Insider,běi dài hénèi mù ,,,,,
,,,,,单增德,INCREASING Germany,dān zēng dé ,Shan Zengde,"""The disciplinary body of east China's Shandong Province is investigating an agriculture official after his hand-written promise to his mistress that he will divorce his wife was posted online.""",http://www.china.org.cn/china/2012-11/30/content_27281633.htm,,
,,,,*,夫人 钻石恒久远,Mrs. A diamond is forever,fūren  zuànshí héng jiǔyuǎn ,,"Apparently some sort of sing-songy insult about Wen Jiabao's wife, who is in the diamond business (溫家寶家族︰夫人鑽石恆久遠，公子衛星布滿天); the second half of that is the below mention of Wen's son's satellite business",http://bbs.creaders.net/politics/bbsviewer.php?trd_id=689882&language=big5,,
,,,,*,公子 卫星布满天,Son Satellite covered days,gōng zǐ  wèixīng bù mǎn tiān ,"Son of high official, satellite, announce fill the skies?","refers to Wen Jiabao son, Wen Yunsong, who after he was named chairman at a satellite communications company, the company's stock rose dramatically because everyone assumed he would be able to increase revenues based on his connections",http://blogs.wsj.com/deals/2012/02/24/china-premiers-son-propels-satellite-stock/,,
,,,,,国母 习夫人,Mother of the country Xi Mrs.,guó mǔ  xí fūren ,,"refers to Peng Liyuan, wife of Xi Jinping",,,
,,,,,彭丽媛,Peng Liyuan,péng lì yuàn ,,wife of Xi Jinping,,,
,,,,,李鹏之子李小鹏,Li 's son Li Xiaopeng,lǐpéng zhī zǐ lǐ xiǎo péng ,"Li Peng's son, Li Xiaopeng","Formerly the President of China Huaneng Group and Huaneng Power International, Li currently serves as the acting Governor of Shanxi.",,,
,,,,,习胡之争,Xi Hu dispute,xí hú zhī zhēng ,,,,,
,,,,,胡 温无能,HU Wen incompetent,hú  wēn wúnéng ,,,,,
,,,,,政权内幕,Regime insider,zhèngquán nèimù ,,,,,
,,,,,交易内幕,Insider trading,jiāoyì nèimù ,,,,,
,,,,*,邓小平政治遗嘱,Deng Xiaoping's political testament,dèngxiǎopíng zhèngzhì yízhǔ ,,Something to do with his legacy or how Jiang Zemin stepped in and solidified his power as Deng declined?,,,
,,,,,四环 保福寺 车祸,Ring Paul Temple accident,sì huán  bǎo fú sì  chēhuò ,"Fourth Ring, Baofusi, Car accident","Ling Jihua's son's car accident near Baofusi bridge, on Beijing's fourth ring road",,,
,,,,,俞正声,Yu,yú zhèng shēng ,Yu Zhengsheng,notable CCP leader whose career might be derailed by allegations that he shared a misstress and corruption,http://www.brookings.edu/about/centers/china/top-future-leaders/yu_zhengsheng,,
,,,,,张高丽,Zhang Gaoli,zhāng gāo lì ,,current first-ranked Vice Premier of the People's Republic of China and a member of the Politburo Standing Committee of the Communist Party of China (Wikipedia),,,
,,,,,胡锦涛之子,Hu Jintao's son,hújǐntāo zhī zǐ ,,"Hu Haifeng, son of Hu Jintao, is head of company that has near monopoly on selling security scanners to Chinese airports. Company was charged with corruption by Namibian government.",,,
