word,human_translation,machine_translation,clients
ba9学潮,,ba9 student protests,YY
8jiuxuechao,,,YY
8jiuxue潮,,8jiuxue tide,YY
8久xuechao,,8 years xuechao,YY
8jiu学chao,,8jiu school chao,YY
ba九学潮,,ba nine student movement,YY
ba九xuechao,,ba nine xuechao,YY
bajiuxuechao,,,YY
ba九学chao,,ba nine school chao,YY
ba九xue潮,,ba nine xue tide,YY
bajiufengbo,,,YY
bajiu风波,,bajiu storm,YY
liusi风波,,liusi storm,YY
陆si风波,,Lu si storm,YY
liu肆风波,,liu store storm,YY
陆肆风bo,,Lusi wind bo,YY
陆肆feng波,,Lusi feng wave,YY
陆肆fengbo,,Lusi fengbo,YY
陆sifengbo,,Lu sifengbo,YY
liu肆fengbo,,liu store fengbo,YY
liusifeng波,,liusifeng wave,YY
bajiushijian,,,YY
八九shijian,,Eighty-nine shijian,YY
89shijian,,,YY
八jiushijian,,Eight jiushijian,YY
八九shi件,,Eighty-nine shi pieces,YY
八九事jian,,Eighty-nine thing jian,YY
8jiushijian,,,YY
89事jian,,89 things jian,YY
8九shi件,,8 pieces of nine shi,YY
8九事件,,8 nine events,YY
八9事件,,Eight 9 events,YY
8九shijian,,8 nine shijian,YY
八9shijian,,Eight 9shijian,YY
8九风波,,8 nine storm,YY
八久风波,,Eight long storm,YY
捌玖风波,,Jiu Ba storm,YY
捌jiu风波,,Ba jiu storm,YY
ba玖风波,,Nine ba storm,YY
ba久风波,,ba long storm,YY
ba久fengbo,,ba long fengbo,YY
捌九风波,,Ba nine storm,YY
捌久风波,,Ba long storm,YY
八jiu风波,,Eight jiu storm,YY
捌玖fengbo,,Jiu Ba fengbo,YY
捌jiufengbo,,Ba jiufengbo,YY
ba玖fengbo,,Nine fengbo ba,YY
tiananmen风波,,tiananmen storm,YY
天安门fengbo,,Tiananmen fengbo,YY
tian安门风波,,tian Tiananmen crisis,YY
天安men风波,,Tian men storm,YY
天安门feng波,,Tiananmen feng wave,YY
天安门风bo,,Tiananmen wind bo,YY
89fengbo,,,YY
8jiufengbo,,,YY
ba9风波,,ba9 storm,YY
8jiu风波,,8jiu storm,YY
8玖风波,,8 Nine storm,YY
捌9风波,,Ba 9 storm,YY
8久风波,,8 long storm,YY
8酒风波,,8 wine storm,YY
ba酒风波,,ba wine storm,YY
ba酒fengbo,,ba wine fengbo,YY
tian安门屠杀,,tian Tiananmen Square massacre,YY
天安men屠杀,,Tian men massacre,YY
陆si惨案,,Lu si massacre,YY
liu肆惨案,,liu wantonly massacre,YY
六四canan,,Sixty-four canan,YY
liusi惨案,,liusi massacre,YY
捌玖惨案,,Jiu Ba massacre,YY
捌久惨案,,Ba long massacre,YY
捌九惨案,,Ba nine tragedy,YY
八久惨案,,Eight long massacre,YY
八酒惨案,,Eight liquor tragedy,YY
八玖惨案,,Eight Nine massacre,YY
捌酒惨案,,Ba liquor tragedy,YY
6四惨案,,6 four tragedy,YY
六4惨案,,Six 4 massacre,YY
六si惨案,,Six si massacre,YY
liu四惨案,,liu four tragedy,YY
6si惨案,,6si massacre,YY
liu4惨案,,liu4 massacre,YY
64canan,,,YY
六4canan,,Six 4canan,YY
6sicanan,,,YY
天安门canan,,Tiananmen canan,YY
天anmen惨案,,Anmen day massacre,YY
天安men惨案,,Tian men massacre,YY
天安门血案,,Tiananmen massacre,YY
tiananmen血案,,tiananmen massacre,YY
天安门xuean,,Tiananmen xuean,YY
天安门xiean,,Tiananmen xiean,YY
天anmen血案,,Anmen day massacre,YY
天安men血案,,Tian men massacre,YY
1989fengbo,,,YY
tiananmen自焚,,tiananmen self-immolation,YY
八九年学生运动,,2089 student movement,YY
捌玖年学生运动,,Jiu Ba student movement,YY
tiananmenfengbo,,,YY
捌玖学运,,Jiu Ba student movement,YY
bajiu学运,,bajiu student movement,YY
bajiu年学生运动,,bajiu year student movement,YY
liusi枪杀,,liusi shot,YY
陆肆枪杀,,Lusi shot,YY
liu肆枪杀,,liu wantonly shot,YY
陆si枪杀,,Lu si shot,YY
陆肆qiangsha,,Lusi qiangsha,YY
八九枪杀,,Eighty-nine shot,YY
捌玖枪杀,,Jiu Ba shot,YY
八久枪杀,,Eight long shot,YY
八酒枪杀,,Eight wine shot,YY
八玖枪杀,,Nine killed eight,YY
捌九枪杀,,Ba nine shot,YY
捌久枪杀,,Ba a long shot,YY
捌酒枪杀,,Ba wine shot,YY
bajiu枪杀,,bajiu shot,YY
八九qiangsha,,Eighty-nine qiangsha,YY
捌玖qiangsha,,Jiu Ba qiangsha,YY
八久qiangsha,,Eight long qiangsha,YY
八酒qiangsha,,Eight wine qiangsha,YY
八玖qiangsha,,Eight Nine qiangsha,YY
捌九qiangsha,,Ba nine qiangsha,YY
捌久qiangsha,,Ba long qiangsha,YY
捌酒qiangsha,,Ba wine qiangsha,YY
liusi屠城,,liusi massacre,YY
平反六四事件,,Vindication event,YY
平反陆肆事件,,Lusi events vindicated,YY
平反liusi事件,,Vindicated liusi event,YY
坦克事件,,Tank Event,YY
tu杀学生,,tu kill students,YY
屠sha学生,,Tu sha students,YY
八九dongluan,,Eighty-nine dongluan,YY
捌玖动乱,,Jiu Ba unrest,YY
八酒动乱,,Eight wine unrest,YY
八久动乱,,Eight long unrest,YY
捌九动乱,,Ba nine unrest,YY
捌久动乱,,Ba long unrest,YY
捌酒动乱,,Ba wine unrest,YY
bajiu动乱,,bajiu unrest,YY
八玖动乱,,Nine eight unrest,YY
捌玖dongluan,,Jiu Ba dongluan,YY
八酒dongluan,,Eight wine dongluan,YY
八久dongluan,,Eight long dongluan,YY
捌九dongluan,,Ba nine dongluan,YY
捌久dongluan,,Ba long dongluan,YY
捌酒dongluan,,Ba wine dongluan,YY
长安街的贝塔,,Chang'an Avenue beta,YY
月4日清晨在天安门广场清场行动中,,On the morning of May 4 in the clearance operation in Tiananmen Square,YY
一九八九年的事件,,Events of 1989,YY
开启六四事件的真相与和解行,,The Truth and Reconciliation open line Tiananmen incident,YY
21周年六四,,21 anniversary sixty-four,YY
21周年6月4日,,21 Anniversary of June 4,YY
二十周年风波,,The twentieth anniversary of the storm,YY
64烛光晚会,,64 candlelight vigil,YY
颜色革命精神教父,,Color revolutionary spirit Godfather,YY
民间对中共压制的抵制,,Civil resistance to Communist repression,YY
为六四正名,,June 4 to name,YY
天安门领导闹学潮,,Tiananmen student strike leaders,YY
六四遭坦克车压,,Sixty-four was pressure tanks,YY
89年的大学生游行,,Students march 1989,YY
大爆政局内幕,,Revealing political insider,YY
学生在天安门绝食,,Students on hunger strike in Tiananmen Square,YY
426社论发表二十年,,426 editorial published two years,YY
89为什么被屏蔽,,89 Why is shielded,YY
4.26社论,,4.26 editorial,YY
25年前的乱局,,"25 years ago, chaos",YY
25年前的那个敏感词,,That sensitive words 25 years ago,YY
25年前天安门,,Tiananmen Square 25 years ago,YY
25年前天安门广场清场,,Cleared Tiananmen Square 25 years ago,YY
25年前6月4日,,"25 years ago, June 4",YY
6四25周年,,6 four 25th anniversary,YY
25周年大游行,,25th Anniversary Parade,YY
64事件25周年,,64 25th Anniversary Event,YY
6425周年,,6425 anniversary,YY
25年萧瀚,,25 years Xiaohan,YY
25年学生潮,,25 years student influx,YY
25年学潮,,25 years of student protests,YY
25年广场事件,,Square incident 25 years,YY
25年六四,,25 June 2004,YY
25年春夏之交,,25 years of spring and summer,YY
25周年张万舒,,Zhang Wan Shu 25th anniversary,YY
25周年89年事件,,25th anniversary of the 1989 events,YY
25周年游行,,25th anniversary parade,YY
25周年6月4日,,25th anniversary of the June 4,YY
25周年六四,,25th Anniversary sixty-four,YY
六四25周年,,Sixty-four 25th anniversary,YY
25周年忌日参考性建议,,"25th anniversary of his death, reference suggestions",YY
坦克进城25年,,Tanks into the city for 25 years,YY
25周年网络大会,,25th anniversary of the Network Conference,YY
6425周年游行,,6425 anniversary parade,YY
25年前的6月4号,,June 4 25 years ago,YY
25年薪火,,25 salary fire,YY
为25年以前死难的人们哀悼,,"25 years ago, people mourned the dead",YY
25年前TIANANMEN,,25 years ago TIANANMEN,YY
25年前广场的真相,,Square 25 years ago the truth,YY
民运25周年,,25th anniversary of the pro-democracy movement,YY
25年钱的政治风波,,25 years of political turmoil money,YY
六四的25周年祭,,25 June Fourth Anniversary,YY
25周年烛光悼念活动,,25th anniversary of the candlelight memorial,YY
纪念六四天安门事件25周年,,To commemorate the 25th anniversary of the Tiananmen Incident.,YY
六四25周年之际,,The occasion of the 25th anniversary of sixty-four,YY
六四国殇25周年,,Tiananmen 25th anniversary of the War,YY
天安门屠杀25年,,Tiananmen Square massacre 25 years,YY
天安门抗议事件25周年,,25th anniversary of the Tiananmen Square protests,YY
你们何必当年的坦克嚣张25年了,,Why your tank arrogance year for 25 years,YY
8964大屠杀25周年,,25th anniversary of the 8964 massacre,YY
门屠杀25周年,,25th anniversary of the massacre door,YY
天安门广场大屠杀25年周年,,25-year anniversary of the Tiananmen Square massacre,YY
六四事件25周年,,25th anniversary of the June incident,YY
纪念六四25周年,,Sixty-four commemorate the 25th anniversary of,YY
六四25周年纪念,,Sixty-four 25th Anniversary,YY
是非恩仇二十年,,Two years of non-hatred,YY
胡耀邦下台前后,,Hu Yaobang before stepping down,YY
大学生天安门广场运动,,Students Tiananmen Square movement,YY
是非恩仇20年,,20-year non-hatred,YY
开坦克血腥镇压,,Open tanks bloody crackdown,YY
1989nian6yue4ri,,,YY
420事件,,420 events,YY
b1oodisonthesquare,,,YY
力捧下台,,Touted step down,YY
李鵬下台,,Li Peng to step down,YY
清洗天安门,,Cleaning Tiananmen,YY
反动分子煽动大多数学生,,Most students inciting reactionary,YY
反对CPC,,Opposition CPC,YY
支持democraci,,Support democraci,YY
democraci运动,,democraci sports,YY
19eighty-nine,,,YY
朱镕基为什么会失败,,Zhu why it failed,YY
学生绝食进入第X天,,Students into the first X days on hunger strike,YY
三小时纪录片,,Three hours documentary,YY
天安门卡玛,,Tiananmen Karma,YY
卡玛天安门,,Kama Tiananmen,YY
禁片下载,,Ban movie download,YY
禁片资源,,Ban chip resources,YY
禁片的下载,,Forbidden films downloads,YY
禁片的资源,,Resources forbidden films,YY
天安门纪录片,,Tiananmen documentaries,YY
89为什么被禁,,89 Why is banned,YY
89为什么被屏,,89 Why is the screen,YY
民运1989,,MDC 1989,YY
1989北京死,,1989 Beijing dead,YY
1989年6月的事,,June 1989 things,YY
天安门静坐,,Tiananmen Square sit-in,YY
426社论,http://en.wikipedia.org/wiki/April_26_Editorial,426 editorial,YY
广场上de热血,,Blood on the Plaza de,YY
广场上绝食,,Hunger strike on the square,YY
广场上静坐,,Square sit-in on,YY
广场洒热血,,Square shed blood,YY
广场鲜血,,Square blood,YY
1989中美交恶,,1989 Sino-US hostility,YY
GCD垮台,,GCD collapse,YY
GCD下台,,GCD step down,YY
GCD腐败,,GCD corruption,YY
说说20年前的事,,Talk about 20 years ago,YY
tank和枪炮,,tank and guns,YY
天安门前的血案,,Tiananmen massacre,YY
拦土旦克,,Lantudanke,YY
在大街上拦着坦克,,Stopping tanks in the streets,YY
出动军队对平民与学生,,Sent troops against civilians and students,YY
镇压学生民主运动,,Suppression of the student democracy movement,YY
坦克开进北京,,Tanks rolled into Beijing,YY
64天安门,,64 Tiananmen,YY
89动1乱,,89 move a mess,YY
1989年6月北京,,June 1989 Beijing,YY
二十年前有次baoluan,,"Twenty years ago, there are times baoluan",YY
一人站一坦克前,,A man got a tank ago,YY
八十九年的那一天发生了血案,,89 years on the day of the murder occurred,YY
对平民与学生使用了武力,,Against civilians and students to use the force,YY
捌玖年中国,,"Jiu Ba, China",YY
学生民主运动,,Student democracy movement,YY
八jiu雪嘲,,Eight jiu snow ridicule,YY
BA九雪嘲,,BA nine snow ridicule,YY
64内幕,,64 Insider,YY
大学生动乱事件,,Students unrest,YY
天安门tusha,,Tiananmen tusha,YY
89年几个大学生的电影,,Several college students 89 years of cinema,YY
64动摇了党,,64 shake the party,YY
学生静坐于广场,,Student sit-in square,YY
6月北京动荡,,June Beijing unrest,YY
六死事件,,Six dead Event,YY
GCD越来越腐败,,GCD growing corruption,YY
1989美中交恶,,1989-US hostility,YY
890604,,,YY
sixfour屠杀,,sixfour massacre,YY
sixfour以后的中国,,sixfour after China,YY
sixfour的影响深远,,The far-reaching influence sixfour,YY
sixfour二十年历史事件,,sixfour two decades of historical events,YY
21年前的乱局是否在中国重演,,"21 years ago, is a repeat of the chaos in China",YY
1989年千千万万走上街头,,Tens of thousands took to the streets in 1989,YY
为下令开枪的决策叫好,,Ordered shot for decision applauded,YY
为六四开枪辩护,,Defense shot June 4,YY
他们才能躺在血铸的稳定大床上,,They can lay Bloodforged stable big bed,YY
不是天安门广场集会的场面,,"Tiananmen Square, the scene is not meeting",YY
史景迁著作天安门台湾版,,Spence works Tiananmen Taiwan Version,YY
赵紫阳北京大屠杀,,Zhao Beijing massacre,YY
胡耀邦北京大屠杀,,Hu Yaobang Beijing massacre,YY
血洗北京,,Bloodbath Beijing,YY
学生砸邓小平的原因,,Deng Xiaoping reason students drop,YY
邓小平这场北京大屠杀,,Deng Xiaoping this Beijing massacre,YY
六四也是香港的六四,,Sixty-four also Hong Kong Tiananmen,YY
香港人不是六四的旁观者,,Hong Kong people are not bystanders sixty-four,YY
六四是香港人的国族启蒙,,Tiananmen is the Nation enlightenment Hong Kong,YY
恨不得月历上根本没有六月四日这一天,,Did not wait for them on the calendar this day June 4,YY
政府不应该用真枪实弹镇压和平示威的群众,,Government should not suppress peaceful demonstrators with live ammunition,YY
就像每年的六四烛光晚会,,Like every year Tiananmen candlelight vigil,YY
北京宣布学生运动为动乱,,Beijing announced the student movement for unrest,YY
赵紫阳去天安门广场看望学生,,Zhao Ziyang went to Tiananmen Square to see the students,YY
支持天安门学生爱国活动,,Tiananmen student support patriotic activities,YY
赵紫阳可能给撵下台,,Zhao possible to expel step down,YY
绝食的学生还在增加,,Students still increasing hunger strike,YY
邓小平被李鹏出卖了,,Li Xiaoping was betrayed,YY
把整个运动定性为动乱,,The whole movement characterized as unrest,YY
实质是要从根本上否定中国共产党的领导,,Essence is fundamentally negative leadership of the Communist Party of China,YY
陈希同向中央政治局汇报北京学运的情况,,Chen Xitong to report the situation to the student movement in Beijing Politburo,YY
北京学生从游行请愿,,Beijing students from a parade petition,YY
共产党的领导人为什么怕见群众,,Why are people afraid of meeting the leaders of the Communist Party,YY
赵紫阳和李鹏为什么不可以出面见见学生,,"Zhao and Li Peng, why not come out to meet student",YY
释放因西单民主墙被捕的魏京生,,Xidan Democracy Wall was arrested due to the release of Wei Jingsheng,YY
江泽民入承大宝,,Jiang Cheng Tai Po into,YY
如果叶剑英不死在64以前,,If you die at 64 before Ye Jianying,YY
六四北京学运,,Sixty-four student movement in Beijing,YY
六四北京开枪,,Sixty-four Beijing shot,YY
八九六四民运,,Eight thousand nine hundred sixty-four pro,YY; LINE
八九六四学运,,Eight thousand nine hundred sixty-four student movement,YY
八九六四学生,,Eight thousand nine hundred sixty-four students,YY
青年报的改组是一场窥伺已久的阴谋,,Youth Daily reorganization is a long-standing conspiracy watching,YY
TiananmenCrackdown,,,YY
八七大游行几万人开进天安门,,Eighty-seven march of tens of thousands of people moved into Tiananmen,YY
屠夫们仍在滥杀善良,,Butchers are still killing goodness,YY
泪水在中国流淌,,Tears flowed in China,YY
八九年的六月三日,,June 3 1989,YY
于是军人们扣动扳机,,Then soldiers pulled the trigger,YY
吓得政府如畏虎狼,,Scared government as fear tigers,YY
在那一九八九年的春天,,In the spring of 1989 that,YY
鲜血染红了广场,,Blood red square,YY
六四悲剧,,Sixty-four tragedy,YY
六四后遗症,,Sixty-four sequelae,YY
二六社论,http://en.wikipedia.org/wiki/April_26_Editorial,26 editorial,YY
他们输入的程序是绝食,,They entered the program are on hunger strike,YY
以绝食的意念来支配自己,,A hunger strike to dictate their own ideas,YY
六丝动乱,,Six wire unrest,YY
把酒流斯,,Wine stream Adams,YY
学潮的兴起,,The rise of the student movement of,YY
借悼念胡耀邦发难,,Tribute to launch an attack by Hu Yaobang,YY
1989春天学潮,,Spring 1989 student protests,YY
从总书记失态讲起,,I start from the general secretary gaffe,YY
北京风波大事记,,Beijing storm Memorabilia,YY
为什么流血避免不了,,Why not avoid bloodshed,YY
与北京呼应的上海动乱,,Shanghai and Beijing echoed unrest,YY
动荡的56天,,56 days turbulence,YY
北京风波的前前后后,,Beijing storm Ins and Outs,YY
八九年的反学朝,,2089 anti-science towards,YY
89年大学生暴乱,,Students riot 89 years,YY
1989年美国全面制裁中国议案,,1989 US sanctions against China comprehensive bill,YY
3的平方2的平方事件,,Event 3 square square 2,YY
20年前的六月大学生,,Students 20 years ago in June,YY
邓小平命令一个团开了武装装甲车,,Deng Xiaoping opened the command of a regiment armed armored vehicles,YY
天安门那段敏感事件,,Tiananmen period of sensitive events,YY
天亣安门事件,,"Tiananmen Square incident, assume day",YY
六丶四学生爱国,,Six Dian four students patriotic,YY
甜安门事件,,Sweet Tiananmen incident,YY
大逆转中国的私有化,,China's reversal of privatization,YY
1989年的六肆,,1989 Six store,YY
邓以枪炮和坦克做出了回应,,Deng responded guns and tanks,YY
19eightnine年,,19eightnine years,YY
聚集tam的几十万大学生清场,,Hundreds of thousands of college students gathered tam clearance,YY
维护中共的专制统治,,Maintain the CCP's dictatorship,YY
89年6月④日,,④ Day on June 89,YY
sixfour惨案,,sixfour massacre,YY
sixfour运动,,sixfour sports,YY
六罒运动,,Six 罒 sports,YY
sixfour云东,,sixfour East Cloud,YY
sixfour风波,,sixfour storm,YY
89学氵朝,,89 Rui toward school,YY
88年雪潮,,88 snow tide,YY
89中国学生的大事,,89 Chinese student affairs,YY
死于八乘八日,,Died eight by 28,YY
bajiu年学生yundong,,bajiu year student yundong,YY
李鹏你镇压学生残害学生的生命电死,,Li harm you suppress the student life student electrocuted,YY
八九学运领袖,,Leader of the student movement,YY
纪录片天安门勿忘历史,,Do not forget the history of Tiananmen Square documentary,YY
既然是风波何以要动用数十万军队,http://www.rfa.org/cantonese/features/hottopic/jiangyanyong_64-20040318.html,Since it is a storm how to spend hundreds of thousands of troops,YY
李锐鲍彤六四,,Li Rui Bao sixty-four,YY
李雪文杜东旭宋秀玲,,Song Xiuling Li Xuewen Du Dongxu,YY
历史的震撼六四大型历史纪录片,,History shock sixty-four large historical documentary,YY
历史的震撼天安门事件实录,,Historical Record of the Tiananmen Square massacre shocked,YY
凌沧洲六四,,Ling Cangzhou sixty-four,YY
柳丝真相与和解建议书,,Stir the Truth and Reconciliation Recommendations,YY
六四惨案鲍彤,,Sixty-four massacre Bao Tong,YY
六四惨案二十周年,,The twentieth anniversary of Tiananmen massacre,YY
六四真相与和解建议书,,Tiananmen and reconciliation proposal,YY
陆肆事件天安门,,Lusi Tiananmen incident,YY
鹏在和平时期大规模动用正规军使用对敌作战的武器对和平市民屠杀,,Peng regular army in peacetime use of large-scale use of weapons against the enemy of the peace community massacre,YY
冉云飞六四天安门,,Ran Tiananmen,YY
事件天安门虐杀六四,,Tiananmen incident slaughtered sixty-four,YY
事件廿周年天安门六四,,The twentieth anniversary of the Tiananmen Square incident sixty-four,YY
死难者名单六四屠杀,,List the 4 June massacre victims,YY
死难者名单六四事件,,List June incident victims,YY
陶君六四学生领袖,,Tao Jun sixty-four student leaders,YY
天安门丁子霖证词,,Ding Zilin Tiananmen testimony,YY
天安门广场惨案六四事件,,June incident in Tiananmen Square massacre,YY
李月月鸟六四,,Lee Bird sixty-four month,YY
1989记忆的呼唤六四,,1989 Memory Call sixty-four,YY
1989年坦克开枪天安门6月4日,,1989 tanks fired June 4 Tiananmen,YY
20周年纪念白皮书,,20th anniversary of the White Paper,YY
20周年六四学生领袖,,20th anniversary of the student leaders sixty-four,YY
20周年忌日谨提出以下参考性建议,,"20th anniversary of his death, I would like to propose the following suggestions reference",YY
20周年忌日真相与和解的建议书,,"Recommendations 20th anniversary of his death, truth and reconciliation",YY
6月4日军队血腥镇压天安门,,June 4 bloody military crackdown in Tiananmen Square,YY
89六四事件二十周年纪念,,89 to commemorate the twentieth anniversary of Tiananmen incident,YY
八九年血腥镇压六四事件,,2089 bloody crackdown on June incident,YY
八老下令天安门文件,,Eight old ordered Tiananmen Papers,YY
把酒柳丝二十年,,Stir the wine two years,YY
把酒柳丝事件,,Stir wine event,YY
陈小雅六四研究,,Xiaoya Chen sixty-four research,YY
陈一咨历史的震撼,,Chen a consultative history of shock,YY
扼腕揪心的悲剧事件继续化脓,,Distraught worried tragic events continue to fester,YY
二十周年纪念六四,,Twentieth anniversary sixty-four,YY
公民网络议政全球纪念,,Global Citizens Network government Memorial,YY
和解的建议书萧瀚,,Recommendations reconciliation 萧瀚,YY
回家运动王丹,,Home sports Wang Dan,YY
记忆的呼唤历史的丰碑八九,,Calling historical monument memory eighty-nine,YY
纪录片历史的震撼历史不会忘记,,Shocking historical documentary history will not forget,YY
王丹邓小平六四公开信,,Wang Dan Xiaoping sixty-four open letter,YY
王丹公开信查处责任者,,Open Letter to investigate those responsible for Wang Dan,YY
勿忘陆肆,,Do not forget Lusi,YY
萧瀚公开信重新处理,,Xiaohan Gong open letter to reprocess,YY
学者陈小雅六四,,Scholars Xiaoya Chen sixty-four,YY
于浩成六四事件,,Yu Hao into the June incident,YY
昝爱宗六四,,Zan sixty-four,YY
赵国君六四,,Zhao Guojun sixty-four,YY
镇压血腥89年六四,,89 bloody June 4 crackdown,YY
致函胡要求当局道歉,,Hu asked for a letter of apology,YY
中共血腥学生,,CCP bloody student,YY
子霖蒋培坤六四,,Sub-Lin Jiang Peikun sixty-four,YY
紫阳六四平反天安门屠杀,,Ziyang sixty-four vindicated Tiananmen massacre,YY
丁子霖母亲天安门,,Tiananmen mother Ding Zilin,YY
丁子霖天安门,,Ding Zilin Tiananmen,YY
六四公开信丁子霖,,Ding Zilin sixty-four open letter,YY
木樨地丁子霖证词,,Ding Zilin Sweetclover testimony,YY
蒋彦永关于为,,Jiang Yanyong on for,YY
蒋彦永89年运动正名,,89-year campaign to name Jiang Yanyong,YY
广场上的鲜血89年,,Blood on the square 89 years,YY
89年六四二十周年纪念,,89 twentieth anniversary of the June 4,YY
学生领袖发表声明六四,,Student leaders issued a statement sixty-four,YY
丁子霖张先玲,,Ding Zilin Zhang Xianling,YY
重新评价六四事件赵紫阳,,Re-evaluation of June incident Zhao Ziyang,YY
鲍彤先生六四,,Mr. Bao Tong Tiananmen,YY; LINE
赵紫阳六四自辩书,,Zhao sixty-four self-defense book,YY
八九年血腥镇压六月四日,,2089 bloody crackdown on June 4,YY
天安门文件六四,,Tiananmen Papers sixty-four,YY
血腥镇压八九年天安门,,Bloody 2089 Tiananmen Square crackdown,YY
天安门89年血腥镇压六四,,Sixty-four bloody crackdown in Tiananmen Square 89 years,YY
中国人的希望热血与光荣,,Chinese people want blood and glory,YY
记忆的呼唤纪念20年前,,20 years ago to commemorate the memory of the call,YY
89年六四天安门事件,,1989 Tiananmen Incident.,YY
2005年1月17日病逝的人民领袖,,"January 17, 2005 death of the leader of the People",YY
1989年6月3日中共镇压天安门,,"June 3, 1989 Tiananmen crackdown CPC",YY
纪念事件二十周年天安门,,To commemorate the twentieth anniversary of the Tiananmen Square incident,YY
事件廿周年天安门,,The twentieth anniversary of the Tiananmen Square incident,YY
八九年血腥镇压六四天安门,,2089 bloody crackdown on the Tiananmen,YY
要回家运动王丹,,Wang Dan to go home campaign,YY
天安门广场惊天动地六四事件,,Shattering June incident in Tiananmen Square,YY
八平方事件二十周年,,Eight square twentieth anniversary event,YY
6月4日中共军队血腥镇压北京天安门,,June 4 bloody crackdown on Tiananmen Square in Beijing Chinese military,YY
周淑庄李雪文杜东旭宋秀玲,Names of Tiananmen Square Mother,Zhou Shu Zhuang Song Xiuling Li Xuewen Du Dongxu,YY
镇压学生89年六四,,June 4 crackdown 89 students,YY
九评共产党九评之,,Nine Commentaries on the Communist Party of Nine Commentaries,YY
8964反邓反腐败惨案,,8964 Anti-Corruption Anti Deng massacre,YY
喋血之八九,,Bounty of eighty-nine,YY
六四军人张世军,,Sixty-four soldier Zhang Shijun,YY
天安門學潮,,Tiananmen student protests,YY
64天安門,,64 Tiananmen,YY
女神起锚,Refers to Goddess of Democracy statue,Goddess anchor,YY
六四的烛光晚会,,June Fourth candlelight vigil,YY
维园六四晚会,,Victoria Park sixty-four party,YY; LINE
李鹏六四日记,,The Critical Moment,YY
李鹏天安门事件主要负责者,,"Li Peng, who is mainly responsible for the Tiananmen Square massacre",YY
六四杀戮事件,,Sixty-four killings,YY
赵紫阳秘书鲍彤之子鲍朴,,Zhao's secretary Bao Tong's son Bao Pu,YY
天安门示威活动,,Tiananmen protests,YY
李鹏关键时刻,,Li critical moment,YY
六四日記手稿,,Sixty-four manuscript diary,YY
李鵬六四日記,,The Critical Moment,YY
像文化大革命的悲劇,,Tragedy like the Cultural Revolution,YY
杨尚昆与赵紫阳发动军事政变,,Zhao Yang Shangkun and military coup,YY
悼念六四港人,,June 4th memorial Hong Kong,YY
香港否决平反六四动议,,Hong Kong's move to veto vindication,YY
纸坦克压体绝食64小时,,Paper laminate tank 64 hours hunger strike,YY
64小时的绝食,,64 hours of hunger strike,YY
香港继续担当中国的良心,,Hong Kong continues to serve as the conscience of China,YY
89年xue潮,,89 years xue tide,YY
北京制止动乱平息反革命暴乱纪事,,Beijing to stop the counter-revolutionary rebellion to quell unrest Chronicle,YY
89年北京制止动乱,,89 Beijing to stop unrest,YY
六和谐四事件,,Six harmonious four events,YY
拦截戒严部队进驻市区和天安门,,Intercept the troops stationed in the city and Tiananmen Square,YY
记念六四烈士,,Martyrs Memorial sixty-four,YY
444444事件,six 4 event,444444 Event,YY
21年前的那个敏感词,,That sensitive words 21 years ago,YY
二十一年前北京大屠杀,,Beijing massacre 21 years ago,YY
中共集团制造六四血案,,CPC Group manufactures sixty-four murder,YY
中共权势者搞强迫遗忘,,Forced to engage the powerful Communist forgotten,YY
二十一年前中国杀戮,,China killing 21 years ago,YY
不准提及六四,,Not allowed to mention sixty-four,YY
中共营造光怪陆离的和谐世界,,CPC to create a harmonious world of bizarre,YY
全球展开六四纪念活动,,Expand sixty-four global commemoration,YY
新民主女神像,,New Goddess of Democracy,YY
平反六四结束专制,,Vindication end tyranny,YY
徐勤先抗命事件,,Xu Qinxian disobedience event,YY
深圳卫视平反六四遭查处,,Shenzhen Satellite TV vindication was investigated,YY
南方都市报悼六四,,Southern Metropolis Daily Mourning sixty-four,YY
世六说实话拾,,Honestly pick six World,YY
实话实说六四,,Straight Talk sixty-four,YY
胡中喜8964亲历,,8964 witnessed Hu Zhongxi,YY
六四廿一周年纪念议案,,Tiananmen anniversary commemoration of the twenty-motion,YY
六四儿童漫画,,Children's cartoon sixty-four,YY
李鹏六四日记引起热议,,The Critical Moment caused by hot,YY
镇压和平请愿的学生,,Students repression of peaceful demonstrations,YY
国殇煞科64情缘,,64 Love Shake Shame,YY
64tian安门,,64tian Yasukado,YY
天AN门风波,,AN day storm door,YY
64二十一周年,,64 twenty-one anniversary,YY
六四薪火,,Passing sixty-four,YY
六四希拉蕊,,Hilary sixty-four,YY
祭拜木樨地,,Worship alba,YY
6four,,,YY
2的8次方,,8 th 2,YY
二的8次方,,Two 8 th,YY
群12500386,,"Group 12,500,386",YY
您会把1989年发生的事情宣布为爱国行动吗,,What will happen in 1989 you declared it patriotic action,YY
4-Jun,,,YY; Sina Show
捌9年的6四,,Eight nine six four-year,YY
6四屠杀,,6 four massacre,YY
6四英魂,,6 four souls,YY
天安门压大学生,,Tiananmen pressure Students,YY
21周年89年事件,,21-year anniversary of the 89 events,YY
21year64,,,YY
21年八平方,,21 years eight square,YY
21周年8x8,,8x8 21 anniversary,YY
21周年张万舒,,21 Anniversary Zhang Wan Shu,YY
21年春夏之交,,21 years of spring and summer,YY
