word_id,word,human_translation,machine_translation,pinyin,description,client,lists,category,category_id,theme
652,迅雷日本无码,(literal translation) Thunder Japan uncensored,,xun lei Riben wu ma,Japanese sexual content,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
653,有码性爱,(literal translation) Censored sex/love-making,,you ma xing ai,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
654,无码性爱,(literal translation) Uncensored sex/love-making,,wu ma xing ai,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
655,黑索金供应,Supplying RDX,,hei suojin gongying,"RDX is the acronym for Research Department Explosive, an explosive nitroamine used in military and industrial applications. For more information, please see: http://en.wikipedia.org/wiki/RDX.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
656,引爆器供应,Supplying (bomb) detonators,,yinbao qi gongying,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
657,雷管供应,Supplying (bomb) detonators,,lei guan gongying,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
658,麻果出售,"Selling of Maguo (or ""Magu"")",,ma guo chushou,"Magu is a stimulant drug that combines methamphetamine and caffeine. For more information, please see: http://www.chinadaily.com.cn/china/2007-06/26/content_902180.htm; http://english.caixin.com/2012-05-21/100392211_all.html.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
659,汽狗专销,Specialized in selling air guns (aka BB guns),,qi gou zhuan xiao,"For more information, please see: http://en.wikipedia.org/wiki/Air_gun.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
660,有偿换肾,Compensation for kidney transplant,,you chang huan shen,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
661,批量收购银行卡,Buying bank cards in bulk,,piliang shougou yinhang qia,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
662,网购汽枪,Online purchase of air guns (BB guns),,wang gou qi qiang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
663,批发军刀,Wholesale of military knives/weapons,,pifa jun dao,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
664,氧化汞专卖,Specialized in selling mercuric oxide,,yanghua gong zhuan mai,"For more information on mercuric oxide, please see: http://en.wikipedia.org/wiki/Mercury(II)_oxide.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
665,批量出售银行卡,Bulk/wholesale of bank cards,,piliang chushou yinhang qia,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
666,性爱漫画,Sex cartoons,,xing ai manhua,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
667,真钱下注,Betting with real money,,zhen qian xia zhu,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Gambling,69,Social
668,视频裸聊,Video nude chat,,shipin luo liao,,Both,Sina UC List 3;Sina UC List 4;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
669,投注取现,Betting -- cash withdrawal (literal translation),,tou zhu qu xian,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Gambling,69,Social
670,麻因出售,,,ma yin chushou,"Unsure, but likely related to the sale ""Magu""
Magu is a stimulant drug that combines methamphetamine and caffeine. For more information, please see: http://www.chinadaily.com.cn/china/2007-06/26/content_902180.htm; http://english.caixin.com/2012-05-21/100392211_all.html.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
671,真人激情裸聊,Real person passionate nude chat,,zhen ren jiqing luo liao,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
672,乱伦电影下载,Downloading incest movies,,luan lun dianying xiazai,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
673,色色电影网站,porn movies website,,se se dianying wangzhan,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
674,丁香成人网,Adult movies website,,ding xiang chengren wang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
675,色狼友综合网,Pervert friends network,,selang you zonghe wang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
676,淫色妹妹导航,Kinky little sister navigation,,yin se meimei daohang,sexual content,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
677,军官证出售,Sale of military officer identification/certificate,,junguan zheng chushou,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
678,警察证出售,Sale of police officer certification/identification,,jingcha zheng chushou,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
679,上门做爱服务,,Door-to-door sex services,shangmen zuo ai fuwu,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
680,出售车主信息,Sale of car owner information,,chushou che zhu xinxi,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
681,出售客户信息,Sale of client (personal) information,,chushou kehu xinxi,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
682,悠悠成人社区,,Leisure adult community,you you chengren shequ,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
683,人皮专卖,Specialized in selling human skin,,ren pi zhuan mai,"Likely related to the sale of ""human skin"" masks in China. This has raised concerns of use in criminal activity. For more information, please see: http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20120820000011&cid=1103.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
684,性爱动画,Sex cartoons,,xing ai donghua,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
685,一品色导航,First class sex/porn navigation,,yi pin se daohang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
686,色情影视基地,,Porn base,seqing yingshi jidi,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
687,淫色影院,Kinky cinema,,yin se ying yuan,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
688,性爱动漫,Sex cartoons,,xing ai dong man,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
689,乱伦影院,,Incest cinema,luan lun ying yuan,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
690,草榴成人导航,,Grass pomegranate adult navigation,cao liu chengren daohang,Porn website,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
691,快播女优,,Fast broadcasting actress,kuai bo nu you,sexual content,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
692,淫播网,,Prostitution broadcast website/network,yin bo wang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
693,无码快播,Uncensored fast broadcast,,wu ma kuai bo,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
694,色播成人,Adult broadcasting,,se bo chengren,sexual content,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
695,真人裸聊服务,Real person nude chat service,,zhen ren luo liao fuwu,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
696,超高清成人电视棒,,Ultra-high definition adult USB,chao gao qing chengren dianshi bang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
697,色老汉导航,Pervert old man navigation,,se laohan daohang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
698,午夜激情片,Midnight passionate movie,,wuye jiqing pian,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
699,色吧亚洲,Asian sex bar,,se ba Yazhou,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
700,淫色基地,Kinky base,,yin se jidi,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
701,国产乱伦片,,Made in China incest films,guochan luan lun pian,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
702,猎枪网,Rifle/shotgun network,,lie qiang wang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
703,小姐威客,,Miss prestige/power/viagra passenger,xiaojie wei ke,sexual content,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
704,性交电影,Sex movies,,xingjiao dianying,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
705,小姐出台服务,(loose translation) escort service,,xiaojie chu tai fuwu,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
706,专售可卡因,Specialized in selling cocaine,,zhuan shou kekayin,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
707,色播电影网,Sexual broadcasting movie network,,se bo dianying wang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
708,狙击汽枪出售,,Sniper air rifle for sale,ju ji qi qiang chushou,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
709,提供开锁器,Providing lock opening devices (literal translation),,tigong kaisuo qi,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
710,马古配方,"Recipe for ""Magu""",,magu peifang,"Homonym for ""麻古配方"" (ma gu pei fang)
Magu is a stimulant drug that combines methamphetamine and caffeine. For more information, please see: http://www.chinadaily.com.cn/china/2007-06/26/content_902180.htm; http://english.caixin.com/2012-05-21/100392211_all.html.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
711,批发马古,"Wholesale of ""Magu""",,pifa magu,"Magu is a stimulant drug that combines methamphetamine and caffeine. For more information, please see: http://www.chinadaily.com.cn/china/2007-06/26/content_902180.htm; http://english.caixin.com/2012-05-21/100392211_all.html.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
712,汽狗网,"""Air dog"" (air gun/BB gun) web",,qi gou wang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
713,批发汽狗,"Wholesale of ""Air dog"" (air gun/BB gun)",,pifa qi gou,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
714,连弩出售,"Selling of ""Lian Nu""",,lian nu chushou,"""Lian nu"" is a Chinese repeating crossbow. For more info, please see: http://en.wikipedia.org/wiki/Repeating_crossbow.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
715,发票代售,(loose translation) Commissioned to sell invoices,,fapiao dai shou,"For more information on ""fa piao"" please see: http://www.whatsonxiamen.com/xiamen-info-699.html.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
716,淫洞,,Kinky hole,yin dong,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
717,成人高清BT,,Adult high definition BT,chengren gao qing BT,"Sexual content. Not sure to what ""BT"" refers.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
718,激情电影种子,,Passionate movie seeds,jiqing dianying zhongzi,Sexual content,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
719,性爱动画片,Sex cartoons,,xing ai donghua pian,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
720,网络赌博机,,Internet gambling machine,wangluo dubo ji,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Gambling,69,Social
721,18禁成人游戏,,18+ Adult games,18jin chengren youxi,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
722,成人游戏下载,Downloading adult games,,chengren youxi xiazai,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
723,卖钢珠槍,Selling BB guns,,mai gang zhu qiang,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
724,淫色电影,Kinky film/movie,,yin se dianying,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
725,淫间道,,Kinky bypass roads,yin jian dao,sexual content.,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
726,出售自制气枪qq,Selling of homemade airgun qq,,chushou zizhi qi qiang qq,"""QQ"" is likely a reference to a microblog website in China: http://www.qq.com/.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
727,猎枪出售qq,Selling of shotguns qq,,lie qiang chushou qq,"""QQ"" is likely a reference to another microblog website in China:http://www.qq.com/.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
728,汽枪原理图,Air gun schematic diagram,,qi qiang yuanli tu,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
729,汽枪制造图纸,,Air gun manufacturing drawings,qi qiang zhizao tuzhi,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
730,pcp配件,Air gun accessories,,pcppeijian,"""PCP"" stands for ""pre-charged pneumatic"" and is a type of air gun. For more information, please see: http://en.wikipedia.org/wiki/Air_gun.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
731,汽狗批发,"Wholesale of ""Air Dog"" (air gun)",,qi gou pifa,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
732,PCP专卖,Specialized in selling PCP,,PCPzhuan mai,"""PCP"" is a type of air gun. For more information, please see: http://en.wikipedia.org/wiki/Air_gun.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
733,诚信汽狗专卖,Reliable exclusive sellers of air guns,,cheng xin qi gou zhuan mai,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
734,仿真气枪专卖店,Store specialized in selling imitation air guns,,fangzhen qi qiang zhuan mai dian,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
735,供应K粉QQ,Providing K powder QQ,,gongying Kfen QQ,"Ketamine. For more information, please see: http://www.time.com/time/world/article/0,8599,2054536,00.html; http://en.wikipedia.org/wiki/Recreational_use_of_ketamine; http://www.urban75.com/Drugs/drugketa.html; https://www.facebook.com/notes/anti-drug-forces/ketamine-k-powder/146020665423551. 

""QQ"" refers to a microblog website in China: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
736,供应钻石冰糖QQ,Providing diamond ice sugar QQ (literal translation),,gongying zuanshi bingtang QQ,"This is likely a reference to crystal methamphetamine. For more information on the drug trade in China, please see: http://en.wikipedia.org/wiki/Illegal_drug_trade_in_the_People's_Republic_of_China.

""QQ"" is a reference to a Chinese microblog website: www. qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
737,出售三唑仑片QQ,Sale of triazolam tablets QQ,,chushou san zuo lun pian QQ,"""Triazolam"" is drug used as a sedative medically used to treat severe insomnia. For more information, please see: http://en.wikipedia.org/wiki/Triazolam. 

""QQ"" refers to a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
738,供应大小冰砖QQ,"Providing big and small ""ice"" bricks QQ",,gongying daxiao bingzhuan QQ,"This is likely a reference to the sale of crystal methamphetamine. For more information, please see: http://en.wikipedia.org/wiki/Illegal_drug_trade#Methamphetamine. 
QQ is a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
739,批发白黄牙签QQ,"Wholesale of ""White/Yellow toothpicks"" QQ",,pifa bai huang yaqian QQ,"""White/Yellow toothpicks"" are a type of drug. Forum/post selling the drug: http://bbs.qingdao.tv/showtopic-93707.html (Chinese + image). 

""QQ"" is a reference to a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
740,买卖身份证QQ,Sale of personal identification QQ,,maimai shenfenzheng QQ,"""QQ"" refers to a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
741,92手狗QQ,QSZ-92 Handgun QQ,92 hand dog QQ,92shou gou QQ,"""92"" or ""QSZ-92"" is a semi-automatic pistol from China. For more information, please see: http://en.wikipedia.org/wiki/QSZ-92. 

""QQ"" is a reference to a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
742,雇杀手QQ,,Hired killer QQ,gu shashou QQ,"""QQ"" is a reference to a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
743,万能开锁器QQ,Universal unlocking device QQ,,wanneng kaisuo qi QQ,"""QQ"" is a reference to a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
744,楼凤QQ,,Floor/Building Phoenix QQ,lou feng QQ,"""Lou feng"" is the term used by Chinese netizens to describe Chinese women, generally local housewives or ""decent women,"" who engage in sexual trade/prostitution online. They normally work in their own homes, or in apartments they rent. Normally, these women advertise through microblogs websites, such as QQ. 

For more information, please see: http://baike.baidu.com/view/107711.htm (Chinese); http://www.hudong.com/wiki/楼凤 (Chinese + images).",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
745,假发票QQ,Fake invoices QQ,,jiafa piao QQ,"""QQ"" is a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
746,专卖开锁翻转枪QQ,Specialized in selling unlocking device flip gun QQ,,zhuan mai kaisuo fan zhuan qiang QQ,"""QQ"" is a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
747,提供十字开锁器QQ,,Providing cross lock picks QQ,tigong shizi kaisuo qi QQ,"""QQ"" is a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
748,职业打手QQ,Professional hitman/thugs QQ,,zhiye da shou QQ,"""QQ"" is a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
749,黄牙签验货付款,"""Yellow toothpick"" (narcotic) -- inspect product -- payments",,huang yaqian yan huo fukuan,"For image of ""yellow toothpick"", please see: http://www.chinesefirst.org.au/home/space.php?uid=2307&do=album&picid=269.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
750,白牙签验货付款,"""White toothpick"" (narcotic) -- inspect product -- payments",,bai yaqian yan huo fukuan,"For image of the drug, please see: http://www.chinesefirst.org.au/home/space.php?uid=2307&do=album&picid=269.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
751,奶油冰验货付款,"""Cream ice"" (narcotic) -- product inspection -- payment",,naiyou bing yan huo fukuan,"For image and more information, please see: http://www.nk95.com/jiedu/201208103157.html (Chinese).",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
752,制造意外QQ,Manufacture/create accident QQ,,zhizao yiwai QQ,"""QQ"" is a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
753,专卖军品刀具QQ,Specialized in selling military equipment and weapons QQ,,zhuan mai jun pin dao ju QQ,"""QQ"" is a Chinese microblog website: www.qq.com",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
754,代理假发票QQ,Agents selling fake invoices QQ,,daili jiafa piao QQ,"""QQ"" is a Chinese microblog website: www.qq.com.",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.5-6.1 Surveillance-only,Illicit Goods and Services,66,Social
